sampleid	Phylum	Class	Order	Family	Genus	Species	DietSimp	DietSpec	Diet_2	Notes	Study	16S515F-806R	FASTQ.gzfiles	Metadata(custom)	pairedORsingle	initials	duplicate
Miret14	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret15	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret16	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret17	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret18	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret19	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret20	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret21	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret22	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret23	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret24	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret25	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret26	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret27	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
Miret28	Arthropoda	Insecta	Lepidoptera	Noctuidae	Brithys	Brithys_Crini	Herbivore	Herbivore	NA	studydatawaspaired_onlyusedsingle_similarreverseread	Miret_et_al_2022	V3-V4	yes	NA	single	DW	NA
